title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
(GLASGOW TRAMS AND BOTANIC GARDENS).,"RUSSELL, Stanley Livingstone",[Place of production not identified]  : ,1950,['(2.00 mins) : '],"Director, [filmed by Stanley L. Russell, Thames and Clyde].","Bus Stations and Depots -- Buses and Coaches, general -- Celebrations, Traditions and Customs -- Children and Infants -- Leisure and Recreation -- Transport -- Glasgow -- documentary","The Botanic Gardens, Glasgow with shots of the tulip beds and the Kibble Palace.  A tram and bus pass each other on Great Western Road. ","mute, colour",http://movingimage.nls.uk/film/0001
"(LAST DAY OF THE TRAMS, GLASGOW).",,[Place of production not identified]  : ,1962,['(28.00 mins) : '],"Director, [filmed by SAAC].",Transport -- Glasgow -- documentary -- amateur,"Footage of the last trams to run in Glasgow, and the farewell procession (1962).","silent, colour",http://movingimage.nls.uk/film/0002
INTO THE MISTS.,,[Place of production not identified]  : ,1956,['(10.04 mins) : '],"Director, [filmed by  W.S. Dobson].","Ceremonies -- Emotions, Attitudes and Behaviour -- Local Government -- Transport -- Edinburgh -- amateur","The story of the last Edinburgh tram.  Shots of horse-drawn omnibus, last passengers, and the scrapping of the trams in Coatbridge.","silent, colour",http://movingimage.nls.uk/film/0004
"PASSING OF THE TRAMCAR, the.",,[Place of production not identified]  : ,1962,['(63.36 mins) : '],,Ceremonies -- Transport -- Glasgow,"Footage of the last tram to run in Glasgow. This film follows the routes and passengers of services across Glasgow, and landmarks relating to their history, including the Whitevale Depot War Memorial. ","silent, colour",http://movingimage.nls.uk/film/0005
SCOTS OF TOMORROW.,Campbell Harper Productions,[Place of production not identified]  : ,1959,['(13.00 mins) : '],"Producer, Campbell Harper Films Ltd..","Art and Artists, general   -- Education -- educational",Scottish school pupils studying scientific and historical projects. ,"sound, black and white",http://movingimage.nls.uk/film/0007
"British Movietone News No. 1127A, GLASGOW UNIVERSITY CELEBRATIONS.",,[Place of production not identified]  : ,1951,['(10.00 mins) : '],"Producer, Movietone News.",Birds -- Ceremonies -- Education -- Glasgow -- newsreel,"Glasgow University celebrates its Fifth Centenary with various events including a torchlight procession, and a reception attended by Lord Provost Hetherington and J. M. McCormick. ","sound, black and white",http://movingimage.nls.uk/film/0008
FIFTH CENTENARY OF THE UNIVERSITY OF GLASGOW.,,[Place of production not identified]  : ,1951,['(20.00 mins) : '],"Producer, .","Ceremonies -- Education -- Media, Communication and the Creative Industries -- Glasgow -- documentary",Celebrations in Glasgow attended by students from around the world including a torchlight procession and bonfire.  ,"sound, black and white",http://movingimage.nls.uk/film/0009
ABERDEEN UNIVERSITY QUATER CENTENARY CELEBRATIONS.,,[Place of production not identified]  : ,1906,['(4.30 mins) : '],"Producer, Scottish Film Council.",Transport,Procession of dignitaries in horse-drawn carriages to Aberdeen University Quater Centenary ceremony. ,"silent, black and white",http://movingimage.nls.uk/film/0010
MR. HARRY LAUDER LEAVES FOR AMERICA: His Triumphal Progress from London to Liverpool.,,[Place of production not identified]  : ,1913,['(3.16 mins) : '],"Producer, Gaumont News.",Leisure and Recreation -- Music Hall -- Ships and Shipping -- Tourism and Travel -- Transport -- newsreel,Harry Lauder leaves for Liverpool from London's Euston Station.  He boards the liner the 'Lusitania'. ,"silent, black and white",http://movingimage.nls.uk/film/0011
GLASGOW'S YESTERDAYS.,"HART, James",[Place of production not identified]  : ,1922,['(13.02 mins) : '],Credits: arranged by C.A. Oakley  assisted by P.M. Hall [p.  James Hart 1930].,Children and Infants -- Dentistry -- Leisure and Recreation -- Tourism and Travel -- Transport -- Glasgow -- local topical,"A selection of amateur films made in the early years of the 20th century looking at life in Glasgow including holidaymakers at Wemyss Bay, a picnic at Rouken Glen, a recruiting march in 1914 and pedestrians strolling along Great Western Road in 1922.","silent, black and white",http://movingimage.nls.uk/film/0012
GOVAN FAIR 1947.,"ELDER, John C",[Place of production not identified]  : ,1947,['(7.12 mins) : '],"Producer, Elder Dalrymple Productions.","Air displays and shows -- Celebrations, Traditions and Customs -- Children and Infants -- Leisure and Recreation -- Ships and Shipping -- Transport -- Glasgow -- local topical","Coronation of the Fair Queen, with the procession and motorcade in Govan, Glasgow.  ","silent, black and white",http://movingimage.nls.uk/film/0013
"(GROSVENOR TOPICAL NEWS): STUDENTS' CHARITIES DAY, GLASGOW.","HART, James",[Place of production not identified]  : ,1926,['(5.00 mins) : '],"Director, [attributed to James Hart].",Ceremonies -- Education -- Glasgow -- local topical,"McAlister's Rag Time Band plays in Glasgow's streets, while students parade through Glasgow for charity.  ","silent, black and white",http://movingimage.nls.uk/film/0015
ORPHEUS CHOIR.,,[Place of production not identified]  : ,1951,['(12.07 mins) : '],"Director, George Hoellering ; Producer, Connoisseur Films Ltd.",Music -- Glasgow -- promotional -- music,Sir Hugh Roberton conducts the Glasgow Orpheus Choir in their first screen concert as they sing various Scottish songs.  ,"sound, black and white",http://movingimage.nls.uk/film/0016
"DAY IN THE HOME, a.",Campbell Harper Productions,[Place of production not identified]  : ,1951,['(13.53 mins) : '],"Producer, Campbell Harper Films Ltd..",Home Life -- educational,The every day chores and idealised family life in an early 1950s Scottish home. ,"sound, black and white",http://movingimage.nls.uk/film/0017
"LANIMER DAY, LANARK.",,[Place of production not identified]  : ,1951,['(9.54 mins) : '],Credits: Scottish Movietone News.,local topical,"The 811th Lanimer Day festival in  Lanark, with the coronation of the Lanimer Queen and procession, 7th June, 1951. ","sound, black and white",http://movingimage.nls.uk/film/0018
[GREAT WESTERN ROAD 1915].,"HART, James",[Place of production not identified]  : ,1915,['(7.00 mins) : '],"Director, [filmed by James Hart].",Children and Infants -- Landscapes and Seascapes -- Glasgow -- local topical,"Sunday morning church-goers promenade along Great Western Road, Glasgow.  ","silent, black and white",http://movingimage.nls.uk/film/0019
JAMES WATT.,"RUSSELL, Stanley Livingstone",[Place of production not identified]  : ,1959,['(17.00 mins) : '],"Director, d. Stanley  L. Russell ; Producer, Thames and Clyde.",Paddle Steamers -- Transport -- Glasgow -- Renfrewshire -- educational,"The life and work of the inventor of steam engines, James Watt.","sound, black and white",http://movingimage.nls.uk/film/0020
LORD LOTHIAN PRESENTS HIS CREDENTIALS AT THE WHITE HOUSE.,,[Place of production not identified]  : ,1939,['(0.35 min) : '],"Producer, Movietone News.","British Empire, the -- War -- newsreel",Lord Lothian arrives at the White House as the new British envoy to the United States.  He is met by the President.   [Incomplete],"sound, black and white",http://movingimage.nls.uk/film/0021
[GAUMONT BRITISH NEWS] MIDNIGHT MATINEE FOR THE REFUGEES.,,[Place of production not identified]  : ,1939,['(0.55 secs) : '],"Producer, Gaumont British News.",Leisure and Recreation -- Music Hall -- Glasgow -- newsreel,"Fund raising event in the Alhambra Theatre, Glasgow.  Lord Provost Dollan greets Mr. and Mrs. Green, Sir Cecil Weir and Lord Inverclyde.  ","sound, black and white",http://movingimage.nls.uk/film/0022
"BRITISH MOVIETONE NEWS No. 799A, ROYAL TOUR OF SCOTLAND   .",,[Place of production not identified]  : ,1944,['(2.49 mins) : '],"Producer, Movietone News.","Ceremonies -- Military, the -- Royalty -- Aberdeen -- newsreel","The Queen and Princess Elizabeth visit a nursery school in Aberdeen, and opening ceremony of the Sailors' Home. ","sound, black and white",http://movingimage.nls.uk/film/0023A
"BRITISH MOVIETONE NEWS No. 793, GLASGOW ARMY EXHIBITION.",,[Place of production not identified]  : ,1944,['(2 mins) : '],"Producer, Movietone News.","Celebrations, Traditions and Customs -- Military, the -- War -- Glasgow -- newsreel",The Opening of the Glasgow Army Exhibition at Queen's Park Recreation Ground by General Sir Thomas Riddle-Webster and Sir Alexander King of the Ministry of Information.  ,"sound, black and white",http://movingimage.nls.uk/film/0023B
"BRITISH MOVIETONE NEWS No. 777A, HAMPDEN PARK INTERNATIONAL:  ENGLAND v SCOTLAND.",,[Place of production not identified]  : ,1944,['(1.37 mins) : '],"Producer, Movietone News.",Sporting Activities -- War -- newsreel,"England v Scotland at Hampden Park, attended by General Montgomery.  Final score is England 3, Scotland 2.","sound, black and white",http://movingimage.nls.uk/film/0023C
"GAUMONT BRITISH NEWS No. 1124, ROYAL TOUR OF SCOTLAND.",,[Place of production not identified]  : ,1944,['(1.59 mins) : '],"Producer, Gaumont British News.","Ceremonies -- Children and Infants -- Education -- Employment, Industry and Industrial Relations -- Royalty -- newsreel",The Queen and Princess Elizabeth visit a nursery school and tweed factory in Aberdeen; opening ceremony of the Sailors Home. ,"sound, black and white",http://movingimage.nls.uk/film/0023D
