Ingestion Order,Shelf Mark,Volume,PID,Create Date,File Name (.PDF),Path,File Size (MB),LSID
2,Playbills 1,Playbills 1,373904,3 de sep de 10,015376973_313_Playbills 1,/2010/09/03/file_1/373904,"156,38",3f9b9a08
12,Playbills 10,Playbills 10,379308,7 de sep de 10,014933523_1305_Playbills 10,/2010/09/07/file_4/379308,"185,7",3f9c9e0f
101,Playbills 100,Playbills 100,435983,21 de sep de 10,015176783_1333_Playbills 100,/2010/09/21/file_6/435983,"294,12",400ce74c
103,Playbills 101 ,Playbills 101 (1),436802,21 de sep de 10,015176791_2150_Playbills 101 (1),/2010/09/21/file_7/436802,"70,98",400ce5c3
105,Playbills 101 ,Playbills 101 (2),437629,21 de sep de 10,015176791_2975_Playbills 101 (2),/2010/09/21/file_8/437629,"75,05",400c8a20
99,Playbills 102,Playbills 102,435118,21 de sep de 10,015176802_470_Playbills 102,/2010/09/21/file_6/435118,"86,42",400cedb2
100,Playbills 103 ,Playbills 103 (1),435635,21 de sep de 10,015290261_986_Playbills 103 (1),/2010/09/21/file_6/435635,"228,09",400ce91e
98,Playbills 103 ,Playbills 103 (2),434844,21 de sep de 10,015290261_197_Playbills 103 (2),/2010/09/21/file_5/434844,"66,11",400cea84
102,Playbills 104 ,Playbills 104 (1),436592,21 de sep de 10,015299283_1941_Playbills 104 (1),/2010/09/21/file_7/436592,"279,16",400cef81
109,Playbills 104 ,Playbills 104 (2),439077,21 de sep de 10,015299283_1236_Playbills 104 (2),/2010/09/21/file_10/439077,"55,15",400e6f9f
107,Playbills 105,Playbills 105,438471,21 de sep de 10,015299288_632_Playbills 105,/2010/09/21/file_9/438471,"380,19",400e71ef
110,Playbills 106,Playbills 106,439234,21 de sep de 10,015176835_1392_Playbills 106,/2010/09/21/file_10/439234,"116,77",400e6de9
108,Playbills 107 ,Playbills 107 (1),438810,21 de sep de 10,015177029_970_Playbills 107 (1),/2010/09/21/file_9/438810,"71,93",400e70d8
106,Playbills 107 ,Playbills 107 (2),437937,21 de sep de 10,015177029_99_Playbills 107 (2),/2010/09/21/file_8/437937,"285,59",400d85a1
117,Playbills 109,Playbills 109,442118,22 de sep de 10,015384366_2511_Playbills 109,/2010/09/22/file_3/442118,"30,52",4045b65a
10,Playbills 11,Playbills 11,378561,7 de sep de 10,014933531_560_Playbills 11,/2010/09/07/file_3/378561,"241,64",3f9ca137
115,Playbills 110,Playbills 110,441228,22 de sep de 10,015384371_1623_Playbills 110,/2010/09/22/file_2/441228,"20,62",4045aa38
114,Playbills 111,Playbills 111,441006,22 de sep de 10,015384376_1402_Playbills 111,/2010/09/22/file_2/441006,"18,65",4045b543
116,Playbills 112,Playbills 112,441531,22 de sep de 10,015384386_1925_Playbills 112,/2010/09/22/file_2/441531,"42,42",4045ad2a
121,Playbills 113,Playbills 113,443768,22 de sep de 10,015384705_4157_Playbills 113,/2010/09/22/file_5/443768,"17,32",4045ae7b
113,Playbills 114,Playbills 114,440627,22 de sep de 10,015384730_1024_Playbills 114,/2010/09/22/file_2/440627,"37,41",40459c5e
122,Playbills 115,Playbills 115,443835,22 de sep de 10,015384741_4223_Playbills 115,/2010/09/22/file_5/443835,"38,33",4045a8a9
120,Playbills 116,Playbills 116,443498,22 de sep de 10,015177049_3888_Playbills 116,/2010/09/22/file_4/443498,"57,56",4045ab5a
118,Playbills 117,Playbills 117,442289,22 de sep de 10,015177079_2681_Playbills 117,/2010/09/22/file_3/442289,"68,85",4045b355
111,Playbills 118,Playbills 118,439979,22 de sep de 10,015177135_378_Playbills 118,/2010/09/22/file_1/439979,"87,85",4045a654
119,Playbills 119 ,Playbills 119 (1),443009,22 de sep de 10,015177525_3400_Playbills 119 (1),/2010/09/22/file_4/443009,"221,61",4045a497
112,Playbills 119 ,Playbills 119 (2),440231,22 de sep de 10,015177525_629_Playbills 119 (2),/2010/09/22/file_1/440231,"242,64",40459ab7
11,Playbills 12,Playbills 12,379028,7 de sep de 10,014933546_1026_Playbills 12,/2010/09/07/file_3/379028,"270,38",3f9c9f8e
126,Playbills 120 ,Playbills 120 (1),445492,22 de sep de 10,015211288_1250_Playbills 120 (1),/2010/09/22/file_6/445492,"51,82",4059a158
129,Playbills 120 ,Playbills 120 (2),446489,22 de sep de 10,015211288_2244_Playbills 120 (2),/2010/09/22/file_7/446489,"44,43",405acd5
125,Playbills 121 ,Playbills 121 (1),445252,22 de sep de 10,015211296_1011_Playbills 121 (1),/2010/09/22/file_6/445252,"185,57",40594f71
134,Playbills 121 ,Playbills 121 (2),448208,22 de sep de 10,015211296_3958_Playbills 121 (2),/2010/09/22/file_9/448208,"38,9",40599d5e
130,Playbills 122 ,Playbills 122 (1),446956,22 de sep de 10,015211305_2710_Playbills 122 (1),/2010/09/22/file_8/446956,"51,7",4059a584
127,Playbills 122 ,Playbills 122 (2),446001,22 de sep de 10,015211305_1758_Playbills 122 (2),/2010/09/22/file_7/446001,"53,97",4059a00a
133,Playbills 123 ,Playbills 123 (1),447876,22 de sep de 10,015211317_3627_Playbills 123 (1),/2010/09/22/file_9/447876,"45,58",4059a45f
123,Playbills 123 ,Playbills 123 (2),444378,22 de sep de 10,015211317_139_Playbills 123 (2),/2010/09/22/file_5/444378,"61,44",4059a80b
124,Playbills 126 ,Playbills 126 (1),444998,22 de sep de 10,015299291_758_Playbills 126 (1),/2010/09/22/file_6/444998,"135,53",MISSING
128,Playbills 126 ,Playbills 126 (2),446116,22 de sep de 10,015299291_1872_Playbills 126 (2),/2010/09/22/file_7/446116,"115,89",40599e4b
132,Playbills 129 ,Playbills 129 (1),447780,22 de sep de 10,015299304_3532_Playbills 129 (1),/2010/09/22/file_9/447780,"435,29",MISSING
131,Playbills 129 ,Playbills 129 (2),447175,22 de sep de 10,015299304_2928_Playbills 129 (2),/2010/09/22/file_8/447175,"373,72",4059a97f
77,Playbills 13 ,Playbills 13 (1),427731,20 de sep de 10,014933562_2054_Playbills 13 (1),/2010/09/20/file_9/427731,"298,87",3fa2cd64
81,Playbills 13 ,Playbills 13 (2),428931,20 de sep de 10,014933562_3250_Playbills 13 (2),/2010/09/20/file_10/428931,"362,48",3fa2d5c5
135,Playbills 131,Playbills 131,448404,23 de sep de 10,015299309_7_Playbills 131,/2010/09/23/file_1/448404,"355,98",4059cbac
140,Playbills 134 ,Playbills 134 (1),450224,23 de sep de 10,015299315_1822_Playbills 134 (1),/2010/09/23/file_2/450224,"273,97",4059cc7f
136,Playbills 134 ,Playbills 134 (2),448868,23 de sep de 10,015299315_470_Playbills 134 (2),/2010/09/23/file_1/448868,"381,56",4059cdf1
138,Playbills 135 ,Playbills 135 (1),449641,23 de sep de 10,015299318_1241_Playbills 135 (1),/2010/09/23/file_2/449641,"312,95",4059d5f4
137,Playbills 135 ,Playbills 135 (2),449023,23 de sep de 10,015299318_624_Playbills 135 (2),/2010/09/23/file_1/449023,"86,93",4059d37c
142,Playbills 136 ,Playbills 136 (1),451089,23 de sep de 10,015299324_2685_Playbills 136 (1),/2010/09/23/file_3/451089,"326,29",4059d1cd
320,Playbills 136 ,Playbills 136 (2),515537,20 de oct de 10,015299324_1640_Playbills 136 (2),/2010/10/20/file_2/515537,"409,73",4332c833
141,Playbills 137 ,Playbills 137 (1),450406,23 de sep de 10,015299329_2003_Playbills 137 (1),/2010/09/23/file_3/450406,"86,55",4059cf6f
